Acidity,Weight,Length,Appearance,Tannin,Ripeness,Sweetness,Country_of_Origin,Firmness,Grade,Price
5.977113595306217,149.82570406543965,49.24914439372171,3.7701619485634295,8.092385483829691,6.916558211025774,6.763284525303315,Costa Rica,0.3700527169283831,A,20075.252141358036
8.625522533627734,150.75925411613812,50.04829991765729,6.007515515555794,7.400024941642037,6.706338266528362,6.481901926857868,Costa Rica,0.5606350882212063,A,20016.60132596234
8.813012185757138,148.7806935717814,49.865871348102,5.166948669445646,6.86143331698689,6.607327091399926,5.702631026986887,Costa Rica,0.3734746372227062,C,20123.52971876702
7.496444061863984,152.3296257665954,49.676489405929885,5.451805813008717,7.342268896950636,6.482970352297992,6.265226699583128,Colombia,0.4908142945955417,A,20055.35363182948
6.885109324245189,150.41222770728686,50.52626826948799,3.8724413797053874,7.630643234840047,6.064422557364972,6.856928506669721,Colombia,0.8268580071324926,A,20003.643981283305
8.850752545829137,147.2120712911731,51.173731938267295,3.68375017604841,8.652341078289494,6.288032288657686,7.067046076169484,Costa Rica,0.6441535560488585,B,19997.04584352496
8.707714912483297,149.9605902808703,48.40792240390734,5.504868234587245,8.664164367148832,7.609408456330309,6.509525030526252,Ecuador,0.7729068840794445,A,19966.027230486816
8.63373721191504,149.8005951802934,50.09842889810363,4.93412472479768,6.6830406508165225,6.037573270075717,6.168810916676484,Ecuador,0.701241655990849,A,20015.563582452025
6.937436281369373,148.4216800322607,50.01618654000763,4.024925188694835,10.912510226933223,7.668846212144252,6.495250483163122,Costa Rica,0.3199492141343728,C,19884.146589470634
9.24207854450567,150.02431641337432,49.86264056416545,4.023157282505174,7.437935750665022,7.038663306829209,6.400919515670632,Colombia,0.0884796501647388,A,20070.977518290954
6.441114696276006,150.48983504373948,49.64750839033844,6.780293877620041,6.691805386685214,7.087422889017912,6.2075721440504745,Costa Rica,0.951645394001274,C,20073.10142261312
7.274083266616879,151.73219072854886,50.87968306302616,4.466405902147004,7.308950524969533,7.835881876513078,7.016695488942045,Ecuador,0.6144626349916665,B,19923.684062435324
9.173366883310427,150.01884133438213,49.7550005153535,4.270796765349035,8.021046043473833,7.764505257851425,5.950263458792175,Ecuador,0.6959335057174234,C,20054.68827203017
7.764512455267319,150.12694887764826,48.19381609456497,4.741113732560593,10.074080481666108,7.658175733002917,6.8342960545349785,Ecuador,0.0080252570233777,C,20022.86030614649
7.905469379651148,149.31241868055932,50.32528480733279,5.859251780840999,5.675323873604109,6.257761850829875,6.358486572823002,Costa Rica,0.9497587131206908,B,19966.543540308547
6.966244428318051,148.92376237668478,50.334585886931166,5.144058544111577,7.818754064976697,7.032942934332507,4.51223606592586,Ecuador,0.3642791685313766,C,19956.59993719849
7.266458856845964,148.61889152666103,50.308719413041246,5.27399323102661,6.699035707931833,7.670413852448856,6.30856338217202,Ecuador,0.4712924252070204,A,20054.65901594025
7.236942874772882,148.76092110428635,50.03860111694049,3.706724191153184,8.039273893439463,7.386894071975925,6.061474524583957,Costa Rica,0.7961007020952922,C,20059.887213011523
